,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
1,pysykma01,2017-10-07,2,25-269,FLA,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,21:02,0,0,0,0,
0,jostty01,2017-10-05,1,19-205,COL,@,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,10:59,0,0,4,9,30.8
1,jostty01,2017-10-07,2,19-207,COL,@,NJD,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,20,12:59,0,1,1,4,20.0
0,zibanmi01,2017-10-05,1,24-170,NYR,,COL,L,2,0,2,-2,0,0,2,0,0,0,0,0,8,25.0,26,21:15,1,0,18,6,75.0
1,zibanmi01,2017-10-07,2,24-172,NYR,@,TOR,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,28,15:27,1,1,8,13,38.1
2,zibanmi01,2017-10-08,3,24-173,NYR,,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,17:41,0,0,8,8,50.0
0,horvabo01,2017-10-07,1,22-185,VAN,,EDM,W,2,0,2,1,0,1,1,0,1,0,0,0,2,100.0,29,18:37,0,0,15,13,53.6
0,boninni01,2017-10-05,1,29-168,NSH,@,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,16:04,1,0,9,10,47.4
1,boninni01,2017-10-07,2,29-170,NSH,@,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,28,16:14,0,2,9,9,50.0
0,zettehe01,2017-10-05,1,36-361,DET,,MIN,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,26,21:36,0,0,8,8,50.0
1,zettehe01,2017-10-07,2,36-363,DET,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,22:16,1,1,7,8,46.7
0,grabnmi01,2017-10-05,1,30-000,NYR,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:57,2,0,0,0,
1,grabnmi01,2017-10-07,2,30-002,NYR,@,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:36,0,1,0,2,0.0
2,grabnmi01,2017-10-08,3,30-003,NYR,,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,15:42,1,1,0,0,
0,wilsoco01,2017-10-05,1,27-350,COL,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:51,0,,,,
1,wilsoco01,2017-10-07,2,27-352,COL,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,17,13:06,1,0,2,0,100.0
0,wardjo02,2017-10-04,1,36-306,SJS,,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:27,1,2,0,0,
1,wardjo02,2017-10-07,2,36-309,SJS,,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,13:54,1,1,0,3,0.0
0,mironan01,2017-10-05,1,23-068,COL,@,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,11:24,2,1,0,0,
